Tag 'synth_adsr.c' range is 0x8004F394 - 0x8004FA47
Tag 'osalloc.c' range is 0x800080B8 - 0x800087C3
[!] Function 0x800460A7 'synthFXSetCtrl' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x800461BB 'synthFXSetCtrl14' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x800462CF 'synthFXCloneMidiSetup' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x8004634B 'synthSendKeyOff' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x800463E3 'SetupFader' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x800464D7 'synthVolume' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x800466E3 'synthIsFadeOutActive' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x8004678B 'synthHWMessageHandler' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x8004680F 'synthInit' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80046CE7 'sndSeqStop' has multiple file tags: set(['seq.c', 'seq_api.c'])
Tag 'osreset.c' range is 0x8000BE68 - 0x8000BE68
Tag 'synth.c' range is 0x80043BB4 - 0x800588EF
[!] Function 0x80046763 'synthSetMusicVolumeType' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80046CE7 'sndSeqStop' has multiple file tags: set(['seq_api.c', 'synth.c'])
[!] Function 0x80046D3F 'sndSeqSpeed' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80046D9F 'sndSeqContinue' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80046DF7 'sndSeqMute' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80046E5F 'sndSeqVolume' has multiple file tags: set(['seq.c', 'synth.c'])
[!] Function 0x80046ECF 'sndSeqGetVolGroup' has multiple file tags: set(['seq_api.c', 'synth.c'])
[!] Function 0x80046F5F 'seqGetMIDIPriority' has multiple file tags: set(['seq_api.c', 'synth.c'])
[!] Function 0x80046F7F 'sndSynthApiFn_80046f7c' has multiple file tags: set(['snd_synthapi.c', 'synth.c'])
[!] Function 0x80046FF7 'sndSynthApiFn_80046ff4' has multiple file tags: set(['snd_synthapi.c', 'synth.c'])
[!] Function 0x8004706F 'sndSynthApiFn_8004706c' has multiple file tags: set(['snd_synthapi.c', 'synth.c'])
[!] Function 0x800470D7 'sndFXStart' has multiple file tags: set(['snd_synthapi.c', 'synth.c'])
[!] Function 0x80047167 'sndFXCheck' has multiple file tags: set(['snd_synthapi.c', 'synth.c'])
[!] Function 0x800471D7 'sndSynthApiFn_800471d4' has multiple file tags: set(['snd_synthapi.c', 'synth.c'])
[!] Function 0x80047247 'audioSetMusicSfxVolume' has multiple file tags: set(['snd_synthapi.c', 'synth.c'])
[!] Function 0x800472F3 'sndSynthApiFn_800472f0' has multiple file tags: set(['snd_synthapi.c', 'synth.c'])
[!] Function 0x8004736F 'sndSynthApiFn_8004736c' has multiple file tags: set(['snd_synthapi.c', 'synth.c'])
[!] Function 0x80047513 'sndSynthApiFn_80047510' has multiple file tags: set(['snd_synthapi.c', 'synth.c'])
[!] Function 0x800475F7 'sndSynthApiFn_800475f4' has multiple file tags: set(['snd_synthapi.c', 'synth.c'])
[!] Function 0x80047733 'sndSynthApiFn_80047788' has multiple file tags: set(['snd_synthapi.c', 'synth.c'])
[!] Function 0x8004778B 'sndSynthApiFn_80047788' has multiple file tags: set(['snd_synthapi.c', 'synth.c'])
[!] Function 0x800477E3 'streamInit' has multiple file tags: set(['snd_init.c', 'synth.c'])
[!] Function 0x80047FEB 'dataInsertKeymap' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x80048157 'dataRemoveKeymap' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x8004823F 'dataInsertLayer' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x800483C7 'dataRemoveLayer' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x800484B7 'dataInsertCurve' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x80048623 'dataRemoveCurve' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x8004870B 'dataInsertSDir' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x800488A3 'dataRemoveSDir' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x80048A5F 'dataAddSampleReference' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x80048B63 'dataRemoveSampleReference' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x80048C5B 'dataInsertFX' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x80048D5F 'dataInsertMacro' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x80048F4B 'dataRemoveMacro' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x800490B7 'maccmp' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x800490C7 'dataGetMacro' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x80049183 'smpcmp' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x800492CB 'curvecmp' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x800492DB 'dataGetCurve' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x800493AB 'layercmp' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x80049447 'fxcmp' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x80049457 'dataGetFX' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x800494F7 'dataInit' has multiple file tags: set(['synthdata.c', 'synth.c'])
[!] Function 0x8004960F 'ExecuteTrap' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x80049743 'mcmdWait' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x80049AF7 'mcmdEndOfMacro' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x8004AD6B 'DoSetPitch' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x8004B6CB 'DoPanningSetup' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x8004B897 'TranslateVolume' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x8004BA93 'DoEnvelopeCalculation' has multiple file tags: set(['synthmacros.c', 'synth.c'])
